,Filepath,Label
85,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\16165.jpg,NEGATIVE
86,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\16186.jpg,NEGATIVE
87,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\14004.jpg,NEGATIVE
88,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\14808_1.jpg,POSITIVE
89,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\14565.jpg,NEGATIVE
90,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\15067.jpg,NEGATIVE
91,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\16254_1.jpg,POSITIVE
92,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\03457.jpg,NEGATIVE
93,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\05468.jpg,NEGATIVE
94,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\16539.jpg,NEGATIVE
95,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\01430.jpg,NEGATIVE
96,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\01525.jpg,POSITIVE
97,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\03682.jpg,POSITIVE
98,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\06070.jpg,POSITIVE
99,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\17438.jpg,NEGATIVE
100,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\16122_1.jpg,POSITIVE
101,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\11202.jpg,NEGATIVE
102,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\11997_1.jpg,POSITIVE
103,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\00462.jpg,NEGATIVE
104,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\17464.jpg,NEGATIVE
105,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\14619.jpg,NEGATIVE
106,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\13771.jpg,NEGATIVE
107,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\05884.jpg,NEGATIVE
108,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\06127.jpg,NEGATIVE
109,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\15343.jpg,NEGATIVE
110,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\06253.jpg,POSITIVE
111,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\05877.jpg,POSITIVE
112,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\11692.jpg,NEGATIVE
113,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\14431_1.jpg,POSITIVE
114,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\18548.jpg,NEGATIVE
115,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\07551.jpg,POSITIVE
116,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\02789.jpg,POSITIVE
117,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\07473.jpg,NEGATIVE
118,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\12034.jpg,NEGATIVE
119,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\14264.jpg,NEGATIVE
120,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\02166.jpg,NEGATIVE
121,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\14702_1.jpg,POSITIVE
122,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\13208.jpg,NEGATIVE
123,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\05670.jpg,POSITIVE
124,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\18675.jpg,NEGATIVE
125,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\00843.jpg,NEGATIVE
126,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\00839.jpg,POSITIVE
127,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\01338.jpg,POSITIVE
128,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\09417.jpg,NEGATIVE
129,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\12763.jpg,NEGATIVE
130,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\07879.jpg,POSITIVE
131,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\06926.jpg,NEGATIVE
132,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\12608_1.jpg,POSITIVE
133,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\19855.jpg,NEGATIVE
134,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\08951.jpg,POSITIVE
135,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\02296.jpg,POSITIVE
136,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\07833.jpg,POSITIVE
137,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\16325_1.jpg,POSITIVE
138,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\15217_1.jpg,POSITIVE
139,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\07593.jpg,POSITIVE
140,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\11343_1.jpg,POSITIVE
141,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\06960.jpg,NEGATIVE
142,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\02817.jpg,NEGATIVE
143,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\18102_1.jpg,POSITIVE
144,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\01917.jpg,POSITIVE
145,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\08640.jpg,POSITIVE
146,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\10321_1.jpg,POSITIVE
147,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\06326.jpg,NEGATIVE
148,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\17360.jpg,NEGATIVE
149,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\00935.jpg,POSITIVE
150,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\01060.jpg,POSITIVE
151,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\19742.jpg,NEGATIVE
152,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\15330_1.jpg,POSITIVE
153,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\13321.jpg,NEGATIVE
154,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\00869.jpg,NEGATIVE
155,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\17486.jpg,NEGATIVE
156,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\07647.jpg,NEGATIVE
157,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\02737.jpg,POSITIVE
158,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\12766_1.jpg,POSITIVE
159,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\01525.jpg,NEGATIVE
160,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\19785.jpg,POSITIVE
161,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\08184.jpg,NEGATIVE
162,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\04503.jpg,POSITIVE
163,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\16600.jpg,NEGATIVE
164,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\10775_1.jpg,POSITIVE
165,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\08594.jpg,NEGATIVE
166,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\19118.jpg,NEGATIVE
167,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\05105.jpg,POSITIVE
168,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\18688.jpg,NEGATIVE
169,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\08284.jpg,POSITIVE
170,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\13892_1.jpg,POSITIVE
171,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\03583.jpg,NEGATIVE
172,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\05108.jpg,NEGATIVE
173,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\11255_1.jpg,POSITIVE
174,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\19868.jpg,POSITIVE
175,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\19644.jpg,POSITIVE
176,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\11565_1.jpg,POSITIVE
177,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\18885_1.jpg,POSITIVE
178,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\00038.jpg,NEGATIVE
179,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\00093.jpg,POSITIVE
180,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\14829_1.jpg,POSITIVE
181,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\07688.jpg,POSITIVE
182,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\18659.jpg,NEGATIVE
183,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\13912.jpg,NEGATIVE
184,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\15352_1.jpg,POSITIVE
185,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\03932.jpg,POSITIVE
186,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\09162.jpg,POSITIVE
187,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\18684.jpg,NEGATIVE
188,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\00872.jpg,NEGATIVE
189,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\12535.jpg,NEGATIVE
190,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\17821_1.jpg,POSITIVE
191,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\10945_1.jpg,POSITIVE
192,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\17526.jpg,NEGATIVE
193,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\14911_1.jpg,POSITIVE
194,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\06375.jpg,NEGATIVE
195,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\10729_1.jpg,POSITIVE
196,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\11601_1.jpg,POSITIVE
197,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\02468.jpg,NEGATIVE
198,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\06716.jpg,POSITIVE
199,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\19945.jpg,NEGATIVE
200,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\17036.jpg,NEGATIVE
201,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\10265_1.jpg,POSITIVE
202,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\15897.jpg,NEGATIVE
203,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\17293.jpg,NEGATIVE
204,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\06835.jpg,POSITIVE
205,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\13132_1.jpg,POSITIVE
206,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\07808.jpg,NEGATIVE
207,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\00949.jpg,POSITIVE
208,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\13813_1.jpg,POSITIVE
209,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\14571_1.jpg,POSITIVE
210,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\08915.jpg,NEGATIVE
211,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\13714.jpg,NEGATIVE
212,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\13325.jpg,NEGATIVE
213,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\02252.jpg,POSITIVE
214,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\06281.jpg,POSITIVE
215,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\11286_1.jpg,POSITIVE
216,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\15285_1.jpg,POSITIVE
217,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\06314.jpg,NEGATIVE
218,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\12697.jpg,NEGATIVE
219,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\07178.jpg,NEGATIVE
220,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\19610.jpg,POSITIVE
221,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\04497.jpg,NEGATIVE
222,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\19482.jpg,POSITIVE
223,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\05699.jpg,NEGATIVE
224,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\10909.jpg,NEGATIVE
225,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\08321.jpg,POSITIVE
226,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\13910_1.jpg,POSITIVE
227,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\13631.jpg,NEGATIVE
228,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\07306.jpg,NEGATIVE
229,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\05083.jpg,NEGATIVE
230,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\10149.jpg,NEGATIVE
231,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\10157.jpg,NEGATIVE
232,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\13737.jpg,NEGATIVE
233,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\18833_1.jpg,POSITIVE
234,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\10562.jpg,NEGATIVE
235,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\09956.jpg,POSITIVE
236,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\05374.jpg,POSITIVE
237,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\10742.jpg,NEGATIVE
238,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\03198.jpg,POSITIVE
239,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\02881.jpg,POSITIVE
240,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\00245.jpg,NEGATIVE
241,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\12868.jpg,NEGATIVE
242,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\05645.jpg,NEGATIVE
243,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\13482_1.jpg,POSITIVE
244,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\04908.jpg,POSITIVE
245,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\11457_1.jpg,POSITIVE
246,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\07925.jpg,POSITIVE
247,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\11427_1.jpg,POSITIVE
248,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\16744.jpg,NEGATIVE
249,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\04413.jpg,POSITIVE
250,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\18701_1.jpg,POSITIVE
251,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\05620.jpg,POSITIVE
252,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\15746_1.jpg,POSITIVE
253,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\17889_1.jpg,POSITIVE
254,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\19389.jpg,NEGATIVE
255,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\02311.jpg,NEGATIVE
256,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\15164.jpg,NEGATIVE
257,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\17266.jpg,NEGATIVE
258,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\05825.jpg,POSITIVE
259,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\13080.jpg,NEGATIVE
260,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\18727.jpg,NEGATIVE
261,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Positive\03982.jpg,POSITIVE
262,C:/Users/ANAND/ML_Projects/ML/CrackDetection/inputs/Negative\11970.jpg,NEGATIVE
